"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
9767;1184725;6150391;200011;1,091
9767;1184725;6150391;200012;1,043
9767;1184725;6150391;200101;1,127
9767;1184725;6150391;200102;1,021
9767;1184725;6150391;200103;1,063
9767;1184725;6150391;200104;1,023
9767;1184725;6150391;200105;0,846
9767;1184725;6150391;200106;0,444
9767;1184725;6150391;200107;0,198
9767;1184725;6150391;200108;0,034
9767;1184725;6150391;200109;0,092
9767;1184725;6150391;200110;0,211
9767;1184725;6150391;200111;0,572
9767;1184725;6150391;200112;0,771
9767;1184725;6150391;200201;0,814
9767;1184725;6150391;200202;1,104
9767;1184725;6150391;200203;1,063
9767;1184725;6150391;200204;0,953
9767;1184725;6150391;200205;0,889
9767;1184725;6150391;200206;0,61
9767;1184725;6150391;200207;0,27
9767;1184725;6150391;200208;0,177
9767;1184725;6150391;200209;0,273
9767;1184725;6150391;200210;0,452
9767;1184725;6150391;200211;0,832
9767;1184725;6150391;200212;1,087
9767;1184725;6150391;200301;1,035
9767;1184725;6150391;200302;1,029
9767;1184725;6150391;200303;1,098
9767;1184725;6150391;200304;0,959
9767;1184725;6150391;200305;0,641
9767;1184725;6150391;200306;0,319
9767;1184725;6150391;200307;0,09
9767;1184725;6150391;200308;-0,01
9767;1184725;6150391;200309;0,016
9767;1184725;6150391;200310;0,393
9767;1184725;6150391;200311;1,004
9767;1184725;6150391;200312;1,116
9767;1184725;6150391;200401;1,013
9767;1184725;6150391;200402;1,094
9767;1184725;6150391;200403;1,147
9767;1184725;6150391;200404;1,08
9767;1184725;6150391;200405;1,006
9767;1184725;6150391;200406;0,564
9767;1184725;6150391;200407;0,216
9767;1184725;6150391;200408;0,093
9767;1184725;6150391;200409;0,094
9767;1184725;6150391;200410;0,361
9767;1184725;6150391;200411;0,958
9767;1184725;6150391;200412;1,112
9767;1184725;6150391;200501;0,99
9767;1184725;6150391;200502;0,934
9767;1184725;6150391;200503;1,024
9767;1184725;6150391;200504;1,106
9767;1184725;6150391;200505;0,742
9767;1184725;6150391;200506;0,389
9767;1184725;6150391;200507;0,154
9767;1184725;6150391;200508;0,038
9767;1184725;6150391;200509;0,106
9767;1184725;6150391;200510;0,14
9767;1184725;6150391;200511;0,289
9767;1184725;6150391;200512;0,831
9767;1184725;6150391;200601;0,949
9767;1184725;6150391;200602;1,113
9767;1184725;6150391;200603;1,166
9767;1184725;6150391;200604;0,89
9767;1184725;6150391;200605;0,668
9767;1184725;6150391;200606;0,482
9767;1184725;6150391;200607;0,19
